,,OPCODE,isMOD,modSWAP,isDouble,OPCext,aluk,MUX_ADDER_IMM,MUX_AND_INT,MUX_SHIFT,P_OP,FMASK,conditionals,swapEIP,isBR,isFP,isImm,immSize,size,R1,R2,R3,R4,S1,S2,S3,S4,op1_mux,op2_mux,op3_mux,op4_mux,dest1_mux,dest2_mux,dest3_mux,dest4_mux,op1_wb,op2_wb,op3_wb,op4_wb,R1_MOD_OVR,M1_RW,M2_RW,OP_MOD_OVR,S3_MOD_OVR,memSizeOVR,is_EXT,MOD_EXT
77 cb,JNBE rel8,8'h77,1'b0,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_1000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b11,1'b0,1'b1,1'b0,1'b1,2'b00,2'b00,3'b000,3'b111,3'b100,3'b000,3'b010,3'b000,3'b000,3'b000,13'h0400,13'h1000,13'h0001,13'h0001,13'h0400,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
75 cb,JNE rel8,8'h75,1'b0,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_1000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b10,1'b0,1'b1,1'b0,1'b1,2'b00,2'b00,3'b000,3'b111,3'b100,3'b000,3'b010,3'b000,3'b000,3'b000,13'h0400,13'h1000,13'h0001,13'h0001,13'h0400,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
0F 87 cd,JNBE rel32,8'h0F,1'b0,1'b0,1'b1,8'h87,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_1000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b11,1'b0,1'b1,1'b0,1'b1,2'b10,2'b10,3'b000,3'b111,3'b100,3'b000,3'b010,3'b000,3'b000,3'b000,13'h0400,13'h1000,13'h0001,13'h0001,13'h0400,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
0F 85 cd,JNE rel32,8'h0F,1'b0,1'b0,1'b1,8'h85,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_1000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b10,1'b0,1'b1,1'b0,1'b1,2'b10,2'b10,3'b000,3'b111,3'b100,3'b000,3'b010,3'b000,3'b000,3'b000,13'h0400,13'h1000,13'h0001,13'h0001,13'h0400,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
EB cb,JMP rel8,8'hEB,1'b0,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_1000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b1,1'b0,1'b1,2'b00,2'b00,3'b000,3'b111,3'b100,3'b000,3'b010,3'b000,3'b000,3'b000,13'h0400,13'h1000,13'h0001,13'h0001,13'h0400,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
E9 cd,JMP rel32,8'hE9,1'b0,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_1000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b1,1'b0,1'b1,2'b10,2'b10,3'b000,3'b111,3'b100,3'b000,3'b010,3'b000,3'b000,3'b000,13'h0400,13'h1000,13'h0001,13'h0001,13'h0400,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
FF /4 ?,JMP r/m32,8'hFF,1'b1,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b0_0100_0000_0000_0000_0000_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b1,1'b0,1'b0,2'b00,2'b10,3'b000,3'b000,3'b100,3'b111,3'b001,3'b010,3'b000,3'b000,13'h0100,13'h0001,13'h0400,13'h0008,13'h0400,13'h0001,13'h0200,13'h0008,1'b1,1'b0,1'b1,1'b1,1'b0,2'b10,2'b01,2'b01,1'b0,1'b0,1'b1,3'd4
EA cp,JMP ptr16:32,8'hEA,1'b0,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b0_0001_0000_0000_0000_0000_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b1,1'b0,1'b0,2'b00,2'b10,3'b000,3'b111,3'b100,3'b000,3'b010,3'b000,3'b000,3'b000,13'h1000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b0,1'b0,1'b0,1'b0,1'b0,2'b01,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
88 /r,"MOV r/m8, r8",8'h88,1'b1,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
89 /r,"MOV r/m32, r32",8'h89,1'b1,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
