,,OPCODE,isMOD,modSWAP,isDouble,OPCext,aluk,MUX_ADDER_IMM,MUX_AND_INT,MUX_SHIFT,P_OP,FMASK,conditionals,swapEIP,isBR,isFP,isImm,immSize,size,R1,R2,R3,R4,S1,S2,S3,S4,op1_mux,op2_mux,op3_mux,op4_mux,dest1_mux,dest2_mux,dest3_mux,dest4_mux,op1_wb,op2_wb,op3_wb,op4_wb,R1_MOD_OVR,M1_RW,M2_RW,OP_MOD_OVR,S3_MOD_OVR,memSizeOVR,is_EXT,MOD_EXT
90+ rd,"XCHG EAX, r32",8'h90,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0010_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'd0,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0002,13'h0001,13'h0001,13'h0001,13'h0002,13'h0001,13'h0001,13'h0001,1'b1,1'b1,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
90+ rd,"XCHG EAX, r32",8'h91,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0010_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'd1,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0002,13'h0001,13'h0001,13'h0001,13'h0002,13'h0001,13'h0001,13'h0001,1'b1,1'b1,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
90+ rd,"XCHG EAX, r32",8'h92,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0010_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'd2,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0002,13'h0001,13'h0001,13'h0001,13'h0002,13'h0001,13'h0001,13'h0001,1'b1,1'b1,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
90+ rd,"XCHG EAX, r32",8'h93,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0010_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'd3,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0002,13'h0001,13'h0001,13'h0001,13'h0002,13'h0001,13'h0001,13'h0001,1'b1,1'b1,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
90+ rd,"XCHG EAX, r32",8'h94,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0010_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'd4,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0002,13'h0001,13'h0001,13'h0001,13'h0002,13'h0001,13'h0001,13'h0001,1'b1,1'b1,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
90+ rd,"XCHG EAX, r32",8'h95,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0010_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'd5,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0002,13'h0001,13'h0001,13'h0001,13'h0002,13'h0001,13'h0001,13'h0001,1'b1,1'b1,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
90+ rd,"XCHG EAX, r32",8'h96,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0010_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'd6,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0002,13'h0001,13'h0001,13'h0001,13'h0002,13'h0001,13'h0001,13'h0001,1'b1,1'b1,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
90+ rd,"XCHG EAX, r32",8'h97,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0010_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'd7,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0002,13'h0001,13'h0001,13'h0001,13'h0002,13'h0001,13'h0001,13'h0001,1'b1,1'b1,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
86  /r,"XCHG r/m8, r8",8'h86,1'b1,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0010_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b1,1'b0,1'b0,1'b1,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
87 /r,"XCHG r/m32, r32",8'h87,1'b1,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0010_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b1,1'b0,1'b0,1'b1,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
